8 drones, 0.2 m/s, 5.333333333333333 spacing, 3 pattern, 4097.599999997376 s
8 drones, 0.2 m/s, 8.0 spacing, 1 pattern, 3365.4999999980346 s
8 drones, 0.2 m/s, 8.0 spacing, 2 pattern, 3363.699999998036 s
8 drones, 0.2 m/s, 8.0 spacing, 3 pattern, 3938.5999999975134 s
8 drones, 0.2 m/s, 10.666666666666666 spacing, 1 pattern, 3327.699999998069 s
8 drones, 0.2 m/s, 10.666666666666666 spacing, 2 pattern, 3363.699999998036 s
8 drones, 0.2 m/s, 10.666666666666666 spacing, 3 pattern, 3818.199999997623 s
8 drones, 0.2 m/s, 13.333333333333332 spacing, 1 pattern, 3406.999999997997 s
8 drones, 0.2 m/s, 13.333333333333332 spacing, 2 pattern, 3363.699999998036 s
8 drones, 0.2 m/s, 13.333333333333332 spacing, 3 pattern, 3708.3999999977227 s
8 drones, 0.3 m/s, 2.6666666666666665 spacing, 1 pattern, 3667.8999999977596 s
8 drones, 0.3 m/s, 2.6666666666666665 spacing, 2 pattern, 3307.899999998087 s
8 drones, 0.3 m/s, 2.6666666666666665 spacing, 3 pattern, 4132.199999997501 s
8 drones, 0.3 m/s, 5.333333333333333 spacing, 1 pattern, 3320.5999999980754 s
8 drones, 0.3 m/s, 5.333333333333333 spacing, 2 pattern, 3307.899999998087 s
8 drones, 0.3 m/s, 5.333333333333333 spacing, 3 pattern, 3862.3999999975827 s
8 drones, 0.3 m/s, 8.0 spacing, 1 pattern, 3264.799999998126 s
8 drones, 0.3 m/s, 8.0 spacing, 2 pattern, 3307.899999998087 s
8 drones, 0.3 m/s, 8.0 spacing, 3 pattern, 3469.1999999979403 s
8 drones, 0.3 m/s, 10.666666666666666 spacing, 1 pattern, 3348.69999999805 s
8 drones, 0.3 m/s, 10.666666666666666 spacing, 2 pattern, 3307.899999998087 s
8 drones, 0.3 m/s, 10.666666666666666 spacing, 3 pattern, 3289.199999998104 s
8 drones, 0.3 m/s, 13.333333333333332 spacing, 1 pattern, 3253.1999999981367 s
8 drones, 0.3 m/s, 13.333333333333332 spacing, 2 pattern, 3307.899999998087 s
8 drones, 0.3 m/s, 13.333333333333332 spacing, 3 pattern, 3158.8999999982225 s
8 drones, 0.4 m/s, 2.6666666666666665 spacing, 1 pattern, 3389.7999999980125 s
8 drones, 0.4 m/s, 2.6666666666666665 spacing, 2 pattern, 3286.899999998106 s
8 drones, 0.4 m/s, 2.6666666666666665 spacing, 3 pattern, 3999.9999999974575 s
8 drones, 0.4 m/s, 5.333333333333333 spacing, 1 pattern, 3241.3999999981475 s
8 drones, 0.4 m/s, 5.333333333333333 spacing, 2 pattern, 3286.899999998106 s
8 drones, 0.4 m/s, 5.333333333333333 spacing, 3 pattern, 3667.9999999977595 s
8 drones, 0.4 m/s, 8.0 spacing, 1 pattern, 3282.2999999981103 s
8 drones, 0.4 m/s, 8.0 spacing, 2 pattern, 3286.899999998106 s
8 drones, 0.4 m/s, 8.0 spacing, 3 pattern, 3234.5999999981536 s
8 drones, 0.4 m/s, 10.666666666666666 spacing, 1 pattern, 3146.6999999982336 s
8 drones, 0.4 m/s, 10.666666666666666 spacing, 2 pattern, 3286.899999998106 s
8 drones, 0.4 m/s, 10.666666666666666 spacing, 3 pattern, 3156.7999999982244 s
8 drones, 0.4 m/s, 13.333333333333332 spacing, 1 pattern, 3228.599999998159 s
8 drones, 0.4 m/s, 13.333333333333332 spacing, 2 pattern, 3286.899999998106 s
8 drones, 0.4 m/s, 13.333333333333332 spacing, 3 pattern, 3312.499999998083 s
8 drones, 0.25 m/s, 10.666666666666666 spacing, 3 pattern, 3442.999999997964 s
8 drones, 0.25 m/s, 13.333333333333332 spacing, 3 pattern, 3321.4999999980746 s
8 drones, 0.28 m/s, 10.666666666666666 spacing, 3 pattern, 3346.6999999980517 s
8 drones, 0.28 m/s, 13.333333333333332 spacing, 3 pattern, 3228.2999999981594 s
8 drones, 0.31 m/s, 10.666666666666666 spacing, 3 pattern, 3249.69999999814 s
8 drones, 0.31 m/s, 13.333333333333332 spacing, 3 pattern, 3155.4999999982256 s
8 drones, 0.34 m/s, 10.666666666666666 spacing, 3 pattern, 3198.1999999981867 s
8 drones, 0.34 m/s, 13.333333333333332 spacing, 3 pattern, 3214.0999999981723 s
8 drones, 0.37 m/s, 10.666666666666666 spacing, 3 pattern, 3133.3999999982457 s
